sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_mode_enabled,label_tag,error_code
7,1903382597,26380,1642222195,38.541618,991.617371,30.512953,478616.5,0,1,0,0
0,1903370310,26384,1642222195,36.879524,991.933472,32.609447,641403.0625,0,1,0,0
3,1903384649,26388,1642222195,37.914658,991.87323,31.253428,916126.125,0,1,0,0
1,1903376405,26505,1642222195,36.591171,992.191467,32.83123,102400000,1,1,0,0
2,1903386950,26508,1642222195,36.984787,991.77832,31.435408,62400380,1,1,0,0
5,1903406917,26515,1642222195,37.449978,991.769836,31.245205,102400000,1,1,0,0
6,1903394118,26519,1642222195,38.485306,991.661621,30.150093,92434416,1,1,0,0
4,1903401543,26651,1642222195,37.677635,991.58429,30.994091,102400000,1,1,0,0
7,1903382597,26661,1642222195,38.142101,991.720581,30.384209,63076036,1,1,0,0
0,1903370310,26665,1642222195,36.445026,991.953247,32.341061,100747120,1,1,0,0
3,1903384649,26669,1642222195,37.492958,991.908203,31.116087,102400000,1,1,0,0
1,1903376405,27904,1642222196,35.715225,992.126526,32.508327,102400000,2,1,0,0
2,1903386950,27908,1642222196,36.114742,991.706299,31.112053,57588752,2,1,0,0
4,1903401543,27912,1642222196,36.724464,991.483032,30.553972,102400000,2,1,0,0
5,1903406917,27916,1642222196,36.487984,991.680298,30.851227,102400000,2,1,0,0
6,1903394118,27920,1642222196,37.543812,991.572449,29.732391,80068416,2,1,0,0
0,1903370310,27925,1642222196,35.555824,991.897461,32.266102,90895976,2,1,0,0
7,1903382597,28062,1642222196,37.172585,991.672058,29.964525,57779148,2,1,0,0
3,1903384649,28068,1642222196,36.42989,991.841125,30.736769,102400000,2,1,0,0
1,1903376405,32104,1642222200,35.574272,992.116089,32.427082,102400000,3,1,0,0
2,1903386950,32108,1642222200,35.988281,991.696594,31.065823,49302992,3,1,0,0
4,1903401543,32112,1642222200,36.62664,991.484924,30.454678,102400000,3,1,0,0
5,1903406917,32116,1642222200,36.407822,991.679688,30.743006,102400000,3,1,0,0
6,1903394118,32120,1642222200,37.543812,991.558411,29.561802,64188052,3,1,0,0
0,1903370310,32126,1642222200,35.472466,991.895935,32.171535,78135320,3,1,0,0
7,1903382597,32263,1642222201,37.164948,991.661377,29.912786,45306604,3,1,0,0
3,1903384649,32269,1642222201,36.190006,991.86084,30.708668,102400000,3,1,0,0
1,1903376405,32804,1642222201,36.266468,992.163025,32.522831,6868162,4,1,0,0
2,1903386950,32808,1642222201,36.653461,991.718628,31.151535,3100681.25,4,1,0,0
4,1903401543,32812,1642222201,37.341515,991.538269,30.521313,8524454,4,1,0,0
5,1903406917,32816,1642222201,37.109272,991.720703,30.81443,8342159,4,1,0,0
6,1903394118,32820,1642222201,38.249302,991.566406,29.614885,3321305.5,4,1,0,0
0,1903370310,32826,1642222201,36.141888,991.875916,32.282623,4295752.5,4,1,0,0
7,1903382597,32963,1642222201,37.864731,991.619202,29.909088,2941472.25,4,1,0,0
3,1903384649,32969,1642222201,36.90966,991.850342,30.81019,6749330.5,4,1,0,0
1,1903376405,33504,1642222202,36.523209,992.155762,32.519836,6279800.5,5,1,0,0
2,1903386950,33508,1642222202,36.911442,991.731201,31.141619,2776949.25,5,1,0,0
4,1903401543,33512,1642222202,37.629978,991.539368,30.53702,7890200,5,1,0,0
5,1903406917,33516,1642222202,37.402382,991.752808,30.797203,7733774,5,1,0,0
6,1903394118,33520,1642222202,38.548073,991.583008,29.602419,2976744.25,5,1,0,0
7,1903382597,33524,1642222202,38.167549,991.655579,29.834795,2702738.25,5,1,0,0
0,1903370310,33527,1642222202,36.381874,991.894409,32.271328,3880625.25,5,1,0,0
3,1903384649,33670,1642222202,37.200047,991.856079,30.837519,6104322,5,1,0,0
1,1903376405,34204,1642222203,36.646549,992.172302,32.464298,5814052.5,6,1,0,0
2,1903386950,34208,1642222203,37.037899,991.710205,31.09058,2575290.75,6,1,0,0
4,1903401543,34212,1642222203,37.793022,991.530579,30.456274,7265632,6,1,0,0
5,1903406917,34216,1642222203,37.54768,991.726624,30.732426,7309391,6,1,0,0
6,1903394118,34220,1642222203,38.711266,991.611633,29.51486,2768502.75,6,1,0,0
7,1903382597,34224,1642222203,38.325321,991.652771,29.803907,2520615.5,6,1,0,0
0,1903370310,34227,1642222203,36.493023,991.90387,32.201267,3606427.5,6,1,0,0
3,1903384649,34370,1642222203,37.341454,991.888184,30.782516,5882944.5,6,1,0,0
1,1903376405,34904,1642222203,37.117245,992.148315,32.420292,675016.5,7,1,0,0
2,1903386950,34908,1642222203,37.518452,991.693115,31.061661,395443.125,7,1,0,0
4,1903401543,34912,1642222203,38.267101,991.522034,30.404625,837970.5625,7,1,0,0
5,1903406917,34916,1642222203,38.038704,991.746277,30.683376,817401.6875,7,1,0,0
6,1903394118,34920,1642222203,39.210888,991.598328,29.446712,424455.9688,7,1,0,0
7,1903382597,34924,1642222203,38.82917,991.635193,29.725382,395214.1875,7,1,0,0
0,1903370310,34927,1642222203,36.945206,991.938904,32.152851,493137.5,7,1,0,0
3,1903384649,35071,1642222203,37.813652,991.884949,30.747288,746627.75,7,1,0,0
1,1903376405,35605,1642222204,37.361404,992.173096,32.33149,770359.25,8,1,0,0
2,1903386950,35609,1642222204,37.766319,991.686157,30.96479,458370.625,8,1,0,0
4,1903401543,35613,1642222204,38.538006,991.492859,30.316986,989850.1875,8,1,0,0
5,1903406917,35616,1642222204,38.309269,991.734436,30.579893,926696.8125,8,1,0,0
6,1903394118,35620,1642222204,39.492088,991.61731,29.330036,475284.2813,8,1,0,0
7,1903382597,35624,1642222204,39.106544,991.634338,29.586185,447846.0625,8,1,0,0
0,1903370310,35627,1642222204,37.159927,991.911133,32.06974,573027.4375,8,1,0,0
3,1903384649,35770,1642222204,38.083839,991.914978,30.664511,835406.875,8,1,0,0
1,1903376405,36317,1642222205,37.499847,992.160339,32.175949,844710.25,9,0,0,0
2,1903386950,36333,1642222205,37.920601,991.698181,30.824663,502206.9688,9,0,0,0
4,1903401543,36349,1642222205,38.713593,991.525696,30.141354,1079030.5,9,0,0,0
5,1903406917,36365,1642222205,38.474613,991.735657,30.432877,983433.375,9,0,0,0
6,1903394118,36381,1642222205,39.655281,991.608154,29.162722,509326.0313,9,0,0,0
7,1903382597,36398,1642222205,39.282127,991.668701,29.420628,481655.6875,9,0,0,0
0,1903370310,36414,1642222205,37.27108,991.891479,31.930338,620418.0625,9,0,0,0
3,1903384649,36430,1642222205,38.245453,991.901489,30.548717,901011.875,9,0,0,0
1,1903376405,37133,1642222205,37.404198,992.174011,31.98645,873906.5625,0,1,0,0
2,1903386950,37137,1642222205,37.773903,991.663208,30.621912,516649.8438,0,1,0,0
5,1903406917,37143,1642222205,38.459579,991.735657,30.224279,1011108.375,0,1,0,0
6,1903394118,37147,1642222205,39.697964,991.604492,28.956121,521384.9375,0,1,0,0
7,1903382597,37150,1642222205,39.422089,991.645264,29.240553,498175.625,0,1,0,0
4,1903401543,37280,1642222206,38.866604,991.501282,29.986286,1173639,0,1,0,0
0,1903370310,37293,1642222206,37.384758,991.890137,31.733557,663857.375,0,1,0,0
3,1903384649,37298,1642222206,38.371712,991.869019,30.344278,944649.4375,0,1,0,0
1,1903376405,37414,1642222206,37.039215,992.167725,31.894794,102400000,1,1,0,0
2,1903386950,37417,1642222206,37.475456,991.760437,30.513897,68624080,1,1,0,0
5,1903406917,37423,1642222206,38.093819,991.747375,30.111958,102400000,1,1,0,0
6,1903394118,37427,1642222206,39.323872,991.6427,28.814417,98034408,1,1,0,0
7,1903382597,37431,1642222206,39.004753,991.703552,29.066673,68948976,1,1,0,0
4,1903401543,37560,1642222206,38.427635,991.553345,29.709082,102400000,1,1,0,0
0,1903370310,37575,1642222206,36.960361,991.964722,31.594688,102400000,1,1,0,0
3,1903384649,37579,1642222206,37.950008,991.927856,30.23671,102400000,1,1,0,0
1,1903376405,38813,1642222207,36.170818,992.145813,31.603683,102400000,2,1,0,0
2,1903386950,38817,1642222207,36.600349,991.726318,30.232962,62758916,2,1,0,0
5,1903406917,38823,1642222207,37.186932,991.709839,29.788574,102400000,2,1,0,0
